time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-01-03 12:23:00+00:00,2026-01-03 12:27:00+00:00,long,89687.762,89715.799,89659.725,,TRAIL,6.39781445946505,500,1.0,0.89,0.11,100.11,alligator-v2 buy,off
2026-01-03 13:33:00+00:00,2026-01-03 13:33:00+00:00,short,89920.05099999999,89902.47988980141,89928.846,,TRAIL,20.4699759966809,500,2.0,2.86,-0.86,99.25,alligator-v2 sell,ny
2026-01-03 13:45:00+00:00,2026-01-03 13:47:00+00:00,short,89921.579,89950.064,89950.064,,SL,6.266379816873961,500,-0.99,0.87,-1.87,97.39,alligator-v2 sell,ny
2026-01-03 14:48:00+00:00,2026-01-03 15:07:00+00:00,short,90050.098,89984.71644481807,90113.77,,TRAIL,2.754602509818995,500,1.0,0.38,0.62,98.0,alligator-v2 sell,ny
2026-01-03 15:37:00+00:00,2026-01-03 15:38:00+00:00,short,89991.055,90017.206,90017.206,,SL,6.744838124647557,500,-0.98,0.94,-1.92,96.08,alligator-v2 sell,ny
2026-01-03 16:59:00+00:00,2026-01-03 17:07:00+00:00,short,90069.636,90022.59711419098,90114.831,,TRAIL,3.829582034136777,500,1.0,0.53,0.47,96.55,alligator-v2 sell,ny
2026-01-03 17:48:00+00:00,2026-01-03 18:03:00+00:00,short,90034.761,90009.69519064577,90058.961,,TRAIL,7.183870245532869,500,1.0,1.0,-0.0,96.54,alligator-v2 sell,off
2026-01-03 18:20:00+00:00,2026-01-03 18:21:00+00:00,long,90045.3,90072.62441221518,90018.92,,TRAIL,6.59083161905755,500,1.0,0.92,0.08,96.62,alligator-v2 buy,off
2026-01-03 19:47:00+00:00,2026-01-03 20:00:00+00:00,short,90073.29,90095.629,90095.629,,SL,7.791993534628591,500,-0.97,1.09,-2.05,94.57,alligator-v2 sell,off
2026-01-03 21:50:00+00:00,2026-01-03 21:58:00+00:00,short,90468.159,90507.75,90507.75,,SL,4.322027502278673,500,-0.95,0.6,-1.55,93.02,alligator-v2 sell,off
2026-01-03 22:17:00+00:00,2026-01-03 22:21:00+00:00,long,90542.833,90604.86212905511,90485.132,,TRAIL,2.9193649622117444,500,1.0,0.41,0.59,93.62,alligator-v2 buy,off
2026-01-03 23:01:00+00:00,2026-01-03 23:03:00+00:00,long,90614.087,90540.559,90540.559,,SL,2.3073804472295536,500,-0.94,0.32,-1.26,92.36,alligator-v2 buy,off
2026-01-03 23:18:00+00:00,2026-01-04 00:03:00+00:00,long,90627.702,90890.992953166,90506.118,,TRAIL,1.3768449072819282,500,2.0,0.19,1.81,94.17,alligator-v2 buy,off
2026-01-04 01:56:00+00:00,2026-01-04 02:46:00+00:00,long,91213.42,91054.69,91054.69,,SL,1.0822299869885241,500,-0.94,0.15,-1.09,93.07,alligator-v2 buy,off
2026-01-04 03:02:00+00:00,2026-01-04 03:11:00+00:00,long,91157.662,91220.222940077,91099.435,,TRAIL,2.914203715218831,500,1.0,0.41,0.59,93.67,alligator-v2 buy,off
2026-01-04 03:30:00+00:00,2026-01-04 03:43:00+00:00,short,91129.194,91231.674,91231.674,,SL,1.6658274225796512,500,-0.94,0.23,-1.17,92.5,alligator-v2 sell,off
2026-01-04 04:00:00+00:00,2026-01-04 04:00:00+00:00,short,91191.897,91216.111,91216.111,,SL,6.967015510980834,500,-0.92,0.97,-1.9,90.6,alligator-v2 sell,off
2026-01-04 04:53:00+00:00,2026-01-04 05:03:00+00:00,short,91387.184,91321.55376409578,91446.645,,TRAIL,2.7849110319631345,500,1.0,0.39,0.61,91.21,alligator-v2 sell,off
2026-01-04 05:40:00+00:00,2026-01-04 05:41:00+00:00,short,91362.52,91308.90176957543,91411.426,,TRAIL,3.407890162601073,500,1.0,0.48,0.52,91.74,alligator-v2 sell,off
2026-01-04 06:29:00+00:00,2026-01-04 06:29:00+00:00,short,91545.531,91501.3858990929,91586.028,,TRAIL,4.147483146211266,500,1.0,0.58,0.42,92.16,alligator-v2 sell,off
2026-01-04 08:03:00+00:00,2026-01-04 10:01:00+00:00,short,91299.932,91453.898,91453.898,,SL,1.0929656060649793,500,-0.92,0.15,-1.07,91.08,alligator-v2 sell,london
2026-01-04 11:05:00+00:00,2026-01-04 11:08:00+00:00,short,91453.503,91364.42868494669,91534.635,,TRAIL,2.0534202917027407,500,1.0,0.29,0.71,91.8,alligator-v2 sell,off
2026-01-04 12:25:00+00:00,2026-01-04 12:34:00+00:00,long,91256.546,91194.489,91194.489,,SL,2.699802161625507,500,-0.92,0.38,-1.29,90.5,alligator-v2 buy,off
