time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-02-16 13:30:00+00:00,2026-02-17 00:52:00+00:00,short,4994.3,4965.410000000002,5003.65,4965.410000000002,TP,106.82994652407041,500,308.98,9.61,299.37,10299.37,alligator+fractal,ny
2026-02-17 04:10:00+00:00,2026-02-17 05:15:00+00:00,short,4949.7699999999995,4919.16,4960.48,4919.16,TP,190.39966010131982,250,294.36,8.57,285.8,10585.17,alligator+fractal,off
2026-02-17 12:05:00+00:00,2026-02-17 12:58:00+00:00,long,4930.63,4930.63,4922.4,4955.040000000003,BE,126.83240042937625,500,0.0,11.41,-11.41,10573.75,alligator+fractal,off
2026-02-17 23:00:00+00:00,2026-02-17 23:00:00+00:00,short,4877.179999999999,4877.179999999999,4886.48,4852.16,BE,221.80680903200937,250,-0.0,9.98,-9.98,10563.77,alligator+fractal,off
2026-02-18 02:35:00+00:00,2026-02-18 04:31:00+00:00,long,4905.18,4934.449999999999,4895.49,4934.449999999999,TP,213.89964087328383,250,319.09,9.63,309.47,10873.24,alligator+fractal,off
2026-02-18 04:50:00+00:00,2026-02-18 09:04:00+00:00,long,4937.83,4916.78,4916.78,5000.579999999999,SL,170.04020609887294,150,-108.73,4.59,-113.32,10759.91,alligator+fractal,off
2026-02-18 12:50:00+00:00,2026-02-18 14:32:00+00:00,long,4931.24,4969.739999999998,4918.02,4969.739999999998,TP,160.54376791438418,250,313.36,7.22,306.13,11066.04,alligator+fractal,off
2026-02-18 20:15:00+00:00,2026-02-18 20:38:00+00:00,short,4978.639999999999,4984.67,4984.67,4960.710000000001,SL,182.73251740946233,500,-110.66,16.45,-127.11,10938.94,alligator+fractal,off
2026-02-19 00:50:00+00:00,2026-02-19 01:51:00+00:00,short,4963.21,4973.13,4973.13,4932.81,SL,218.92036003639174,250,-109.39,9.85,-119.24,10819.7,alligator+fractal,off
2026-02-19 05:40:00+00:00,2026-02-19 06:45:00+00:00,long,4993.820000000001,5011.890000000003,4987.73,5011.890000000003,TP,177.44375401423397,500,321.04,15.97,305.07,11124.77,alligator+fractal,off
2026-02-19 17:55:00+00:00,2026-02-19 19:06:00+00:00,short,4986.639999999999,4986.639999999999,5001.72,4941.400000000001,BE,147.14907321888919,250,-0.0,6.62,-6.62,11118.14,alligator+fractal,off
2026-02-20 03:45:00+00:00,2026-02-20 04:40:00+00:00,short,4987.33,4998.4,4998.4,4954.3200000000015,SL,200.3608023388855,250,-111.18,9.02,-120.2,10997.95,alligator+fractal,off
2026-02-20 06:50:00+00:00,2026-02-20 15:03:00+00:00,long,5029.71,5029.71,4998.07,5123.59,BE,116.55389704639055,150,0.0,3.15,-3.15,10994.8,alligator+fractal,off
2026-02-20 17:10:00+00:00,2026-02-20 17:20:00+00:00,long,5071.0,5060.55,5060.55,5102.469999999998,SL,213.4148383665254,250,-109.95,9.6,-119.55,10875.25,alligator+fractal,off
