time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-04-08 13:45:00+00:00,2026-04-08 13:47:00+00:00,short,4774.62,4784.487065038111,4784.487065038111,4759.20586992378,SL,193.55786068332694,250,-100.0,8.71,-108.71,9891.29,VWAP reclaim,ny
2026-04-08 13:53:00+00:00,2026-04-08 13:53:00+00:00,short,4779.0599999999995,4779.0599999999995,4785.79467171974,4765.500656560519,BE,140.3812089403079,500,-0.0,12.63,-12.63,9878.66,VWAP reclaim,ny
2026-04-08 14:12:00+00:00,2026-04-08 14:19:00+00:00,long,4785.0,4776.715689977896,4776.715689977896,4800.938620044209,SL,114.11781273248621,500,-98.79,10.27,-109.06,9769.6,VWAP reclaim,ny
2026-04-08 16:52:00+00:00,2026-04-08 17:00:00+00:00,long,4764.06,4759.885071754932,4759.885071754932,4772.499856490136,SL,222.96408636001465,500,-97.7,20.07,-117.76,9651.84,VWAP reclaim,ny
2026-04-09 07:03:00+00:00,2026-04-09 07:08:00+00:00,long,4715.3,4726.117325911982,4709.921337044008,4726.117325911982,TP,169.22904869571502,500,194.11,15.23,178.88,9830.72,VWAP reclaim,london
2026-04-09 07:19:00+00:00,2026-04-09 07:19:00+00:00,short,4719.679999999999,4719.679999999999,4723.927248508753,4711.485502982493,BE,218.48425015319037,500,-0.0,19.66,-19.66,9811.05,VWAP reclaim,london
2026-04-09 07:48:00+00:00,2026-04-09 07:56:00+00:00,short,4718.679999999999,4718.679999999999,4722.252545613575,4711.65490877285,BE,259.17221733739063,500,-0.0,23.33,-23.33,9787.73,VWAP reclaim,london
2026-04-09 07:58:00+00:00,2026-04-09 08:01:00+00:00,long,4719.31,4725.675705148455,4716.007147425772,4725.675705148455,TP,279.7056669869979,500,188.64,25.17,163.47,9951.2,VWAP reclaim,london
2026-04-09 10:17:00+00:00,2026-04-09 10:17:00+00:00,short,4724.91,4726.909240548352,4726.909240548352,4721.001518903296,SL,470.36377053539456,500,-99.51,42.33,-141.84,9809.35,VWAP reclaim,london
2026-04-09 13:54:00+00:00,2026-04-09 14:03:00+00:00,short,4764.53,4769.836880074423,4769.836880074423,4753.736239851155,SL,176.13723511041056,500,-98.09,15.85,-113.95,9695.41,VWAP reclaim,ny
2026-04-09 14:18:00+00:00,2026-04-09 14:18:00+00:00,short,4766.75,4766.75,4770.898020288613,4760.133959422775,BE,222.8320073845646,500,-0.0,20.05,-20.05,9675.35,VWAP reclaim,ny
2026-04-09 14:27:00+00:00,2026-04-09 14:31:00+00:00,long,4768.110000000001,4763.726013989912,4763.726013989912,4777.7179720201775,SL,210.46210526384507,500,-96.75,18.94,-115.7,9559.66,VWAP reclaim,ny
2026-04-09 14:59:00+00:00,2026-04-09 15:04:00+00:00,long,4768.650000000001,4761.552704057368,4761.552704057368,4781.164591885265,SL,128.4620559587224,500,-95.6,11.56,-107.16,9452.5,VWAP reclaim,ny
2026-04-09 15:13:00+00:00,2026-04-09 15:13:00+00:00,long,4765.43,4765.43,4762.118658466573,4771.872683066854,BE,272.06631606612194,500,0.0,24.49,-24.49,9428.01,VWAP reclaim,ny
2026-04-10 07:03:00+00:00,2026-04-10 07:03:00+00:00,short,4743.78,4747.1344280706435,4747.1344280706435,4738.0011438587135,SL,266.6590012289606,500,-94.28,24.0,-118.28,9309.73,VWAP reclaim,london
2026-04-10 07:14:00+00:00,2026-04-10 07:14:00+00:00,long,4749.64,4747.058130011541,4747.058130011541,4754.623739976918,SL,342.52604138151247,500,-93.1,30.83,-123.92,9185.81,VWAP reclaim,london
2026-04-10 07:18:00+00:00,2026-04-10 07:51:00+00:00,long,4750.71,4750.71,4746.893190261342,4758.013619477317,BE,228.66802115592165,500,0.0,20.58,-20.58,9165.23,VWAP reclaim,london
2026-04-10 07:56:00+00:00,2026-04-10 08:00:00+00:00,short,4751.2,4751.2,4753.860058664197,4745.9998826716055,BE,327.40508967631513,500,-0.0,29.47,-29.47,9135.76,VWAP reclaim,london
2026-04-10 08:11:00+00:00,2026-04-10 08:17:00+00:00,short,4750.97,4745.8588144191235,4753.465592790439,4745.8588144191235,TP,347.84308706172266,500,187.11,31.31,155.8,9291.57,VWAP reclaim,london
2026-04-10 08:33:00+00:00,2026-04-10 08:38:00+00:00,long,4752.0,4748.905790924998,4748.905790924998,4758.308418150004,SL,285.39453058676463,500,-92.92,25.69,-118.6,9172.96,VWAP reclaim,london
2026-04-10 09:20:00+00:00,2026-04-10 10:06:00+00:00,long,4759.51,4745.554634288956,4745.554634288956,4786.94073142209,SL,125.13842913736741,250,-91.73,5.63,-97.36,9075.6,VWAP reclaim,london
