exit,sl_atrx,rr_x,spread,h1,trades,winrate_%,profit_factor,net_$,return_%,max_dd_%,commission_$,TP,SL
atr,1.5,3.0,usd,False,172,27.3,1.05,744.77,7.45,-20.31,917.0,47,125
atr,1.5,3.0,usd,True,93,29.0,1.09,725.79,7.26,-11.33,529.9,27,66
atr,1.5,3.0,atr,True,61,26.2,0.97,-132.33,-1.32,-9.31,331.35,16,45
atr,1.5,2.0,usd,False,211,33.6,0.94,-792.66,-7.93,-18.43,1091.5,71,140
atr,1.5,2.0,usd,True,98,32.7,0.87,-934.39,-9.34,-16.06,516.85,32,66
atr,1.5,3.0,atr,False,136,24.3,0.9,-1037.04,-10.37,-23.66,684.47,33,103
atr,1.0,1.0,atr,True,64,45.3,0.68,-1151.81,-11.52,-11.84,508.76,29,35
atr,1.5,1.0,atr,True,63,42.9,0.65,-1224.12,-12.24,-12.24,319.33,27,36
atr,1.5,2.0,atr,False,170,31.8,0.87,-1464.93,-14.65,-19.1,855.69,54,116
atr,1.5,2.0,atr,True,63,27.0,0.67,-1485.68,-14.86,-17.1,318.77,17,46
atr,1.5,1.0,usd,True,102,45.1,0.71,-1617.05,-16.17,-18.24,499.9,46,56
atr,1.5,1.5,atr,True,63,30.2,0.59,-1766.91,-17.67,-18.64,318.69,19,44
atr,1.5,1.5,usd,False,221,38.0,0.87,-1777.74,-17.78,-23.51,1096.46,84,137
atr,1.5,1.5,usd,True,100,35.0,0.73,-1808.76,-18.09,-21.03,506.36,35,65
atr,1.5,1.5,atr,False,176,36.9,0.83,-1836.14,-18.36,-22.45,883.66,65,111
atr,1.0,1.0,usd,True,105,45.7,0.68,-1912.53,-19.13,-22.32,788.64,48,57
atr,1.0,1.5,atr,True,64,29.7,0.53,-2037.44,-20.37,-20.6,467.29,19,45
atr,1.0,1.0,atr,False,198,48.0,0.8,-2163.63,-21.64,-23.64,1518.53,95,103
atr,1.0,3.0,usd,True,104,22.1,0.74,-2176.79,-21.77,-24.3,776.02,23,81
atr,1.5,1.0,atr,False,189,46.0,0.78,-2250.1,-22.5,-24.58,945.11,87,102
atr,1.0,3.0,atr,True,64,17.2,0.56,-2301.87,-23.02,-23.02,481.77,11,53
atr,1.5,1.0,usd,False,248,46.8,0.81,-2488.84,-24.89,-27.58,1223.58,116,132
atr,1.0,1.5,usd,True,105,33.3,0.62,-2584.58,-25.85,-26.31,727.41,35,70
atr,1.0,2.0,atr,True,64,18.8,0.42,-2876.38,-28.76,-28.76,463.52,12,52
atr,1.0,3.0,atr,False,182,22.0,0.78,-3004.21,-30.04,-33.26,1273.17,40,142
atr,1.0,3.0,usd,False,242,23.6,0.83,-3022.35,-30.22,-36.43,1696.41,57,185
atr,1.0,1.0,usd,False,277,48.0,0.79,-3069.82,-30.7,-33.08,2050.55,133,144
atr,1.0,1.5,atr,False,194,35.6,0.73,-3161.63,-31.62,-33.3,1354.57,69,125
atr,1.0,2.0,usd,True,104,25.0,0.59,-3171.66,-31.72,-32.28,732.18,26,78
atr,1.0,1.5,usd,False,269,37.5,0.78,-3454.46,-34.54,-36.96,1843.67,101,168
atr,1.0,2.0,usd,False,255,30.2,0.79,-3538.46,-35.38,-39.28,1744.49,77,178
atr,1.0,2.0,atr,False,187,26.7,0.69,-3801.04,-38.01,-40.72,1240.69,50,137
usd,,,usd,False,293,34.5,0.57,-6738.68,-67.39,-68.94,7330.95,102,191
