time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-06-15 22:30:00+00:00,2026-06-16 03:47:00+00:00,short,66129.50499999999,66129.50499999999,66647.618,64581.885999999984,BE,127.63529384516205,100,-0.0,2.3,-2.3,9997.7,alligator+fractal,off
2026-06-17 11:00:00+00:00,2026-06-17 11:42:00+00:00,short,64770.386999999995,64770.386999999995,65044.998,63946.75399999999,BE,157.20542008567267,150,-0.0,4.24,-4.24,9993.46,alligator+fractal,off
2026-06-17 22:15:00+00:00,2026-06-17 23:20:00+00:00,short,64071.401999999995,64460.648,64460.648,62905.876000000004,SL,109.6641311775414,150,-99.93,2.96,-102.9,9890.56,alligator+fractal,off
2026-06-19 22:45:00+00:00,2026-06-20 03:01:00+00:00,long,63292.201,63292.201,63015.292,64120.58,BE,150.71027429552984,150,0.0,4.07,-4.07,9886.49,alligator+fractal,off
2026-06-20 21:15:00+00:00,2026-06-20 22:01:00+00:00,long,63956.183000000005,63956.183000000005,63819.917,64366.781,BE,185.60825931426672,250,0.0,8.35,-8.35,9878.14,alligator+fractal,off
2026-06-20 22:15:00+00:00,2026-06-21 08:07:00+00:00,long,64109.336,64109.336,63886.609,64777.28100000002,BE,113.73224758633894,250,0.0,5.12,-5.12,9873.02,alligator+fractal,off
2026-06-21 23:45:00+00:00,2026-06-22 00:37:00+00:00,short,63295.873999999996,63832.727,63832.727,61685.091,SL,116.40460614243916,100,-98.73,2.1,-100.83,9772.2,alligator+fractal,off
2026-06-22 19:00:00+00:00,2026-06-23 06:08:00+00:00,short,64313.119999999995,63101.364000000016,64708.132,63101.364000000016,TP,106.06943756308702,150,299.78,2.86,296.91,10069.11,alligator+fractal,off
2026-06-26 06:45:00+00:00,2026-06-26 09:51:00+00:00,long,60361.954000000005,59671.574,59671.574,62453.278,SL,176.07437719688383,50,-100.69,1.58,-102.28,9966.83,alligator+fractal,off
2026-06-30 05:30:00+00:00,2026-06-30 06:29:00+00:00,short,59357.043,59672.546,59672.546,58413.742,SL,125.00711484466244,150,-99.67,3.38,-103.04,9863.79,alligator+fractal,off
2026-07-01 00:30:00+00:00,2026-07-01 01:22:00+00:00,short,58360.551,58360.551,58773.899,57120.70700000002,BE,139.2667313286387,100,-0.0,2.51,-2.51,9861.28,alligator+fractal,off
2026-07-01 01:23:00+00:00,2026-07-01 01:39:00+00:00,short,58318.674,58720.262,58720.262,56365.78199999999,SL,143.20572062352568,100,-98.61,2.58,-101.19,9760.09,alligator+fractal,off
2026-07-01 04:45:00+00:00,2026-07-01 06:20:00+00:00,long,59329.700000000004,58823.5,58823.5,60900.89199999999,SL,114.39419185548456,100,-97.6,2.06,-99.66,9660.43,alligator+fractal,off
2026-07-01 12:15:00+00:00,2026-07-01 13:17:00+00:00,short,58420.019,58728.906,58728.906,57479.118,SL,121.80564137093019,150,-96.6,3.29,-99.89,9560.54,alligator+fractal,off
2026-07-03 00:30:00+00:00,2026-07-03 01:14:00+00:00,short,61281.962,61587.919,61587.919,60388.44300000001,SL,127.66252600169682,150,-95.61,3.45,-99.05,9461.49,alligator+fractal,off
2026-07-04 17:45:00+00:00,2026-07-04 20:22:00+00:00,long,63155.619000000006,63155.619000000006,62771.906,64306.99399999999,BE,103.81823849250644,150,0.0,2.8,-2.8,9458.68,alligator+fractal,off
2026-07-05 01:45:00+00:00,2026-07-05 04:24:00+00:00,short,62837.212999999996,62837.212999999996,63209.848,61719.508,BE,106.33414882507316,150,-0.0,2.87,-2.87,9455.81,alligator+fractal,off
2026-07-06 05:30:00+00:00,2026-07-06 10:39:00+00:00,short,62977.835,62977.835,63367.114,61812.89799999999,BE,101.98455291551231,150,-0.0,2.75,-2.75,9453.06,alligator+fractal,off
2026-07-07 05:00:00+00:00,2026-07-07 05:32:00+00:00,short,63069.136999999995,63069.136999999995,63254.902,62511.818,BE,128.37646278136836,250,-0.0,5.78,-5.78,9447.28,alligator+fractal,off
