time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-03-25 11:25:00+00:00,2026-03-25 12:23:00+00:00,long,4582.150000000001,4556.24,4556.24,4657.6,SL,117.89913804193658,150,-100.0,3.18,-103.18,9896.82,alligator+fractal,off
2026-03-25 18:50:00+00:00,2026-03-25 19:10:00+00:00,short,4543.94,4501.880000000001,4557.84,4501.880000000001,TP,129.41162987495468,250,299.47,5.82,293.64,10190.46,alligator+fractal,off
2026-03-25 23:40:00+00:00,2026-03-26 00:18:00+00:00,short,4494.11,4534.76,4534.76,4370.4400000000005,SL,112.66187518345312,100,-101.9,2.03,-103.93,10086.53,alligator+fractal,off
2026-03-26 05:50:00+00:00,2026-03-26 14:34:00+00:00,short,4473.23,4473.23,4522.28,4322.680000000001,BE,183.9729311287889,50,-0.0,1.66,-1.66,10084.87,alligator+fractal,off
2026-03-26 19:55:00+00:00,2026-03-26 20:12:00+00:00,short,4364.51,4392.35,4392.35,4281.67,SL,158.10175081983164,100,-100.85,2.85,-103.69,9981.18,alligator+fractal,off
2026-03-26 22:40:00+00:00,2026-03-26 23:08:00+00:00,long,4409.01,4395.02,4395.02,4450.779999999999,SL,125.82448582680452,250,-99.81,5.66,-105.47,9875.7,alligator+fractal,off
2026-03-27 05:35:00+00:00,2026-03-27 05:54:00+00:00,long,4459.56,4459.56,4442.17,4511.6900000000005,BE,168.8376283750688,150,0.0,4.56,-4.56,9871.15,alligator+fractal,off
2026-03-27 10:40:00+00:00,2026-03-27 11:45:00+00:00,short,4422.26,4422.26,4431.54,4394.620000000002,BE,188.15850090707974,250,-0.0,8.47,-8.47,9862.68,alligator+fractal,off
2026-03-27 12:50:00+00:00,2026-03-27 13:31:00+00:00,long,4439.81,4417.18,4417.18,4506.5,SL,128.99813921189187,150,-98.63,3.48,-102.11,9760.57,alligator+fractal,off
2026-03-27 20:50:00+00:00,2026-03-30 00:08:00+00:00,short,4498.8099999999995,4428.0,4522.48,4428.0,TP,123.67538118652887,150,291.99,3.34,288.65,10049.22,alligator+fractal,off
2026-03-30 05:50:00+00:00,2026-03-30 07:31:00+00:00,long,4520.72,4520.72,4504.09,4570.57,BE,109.27172102527973,250,0.0,4.92,-4.92,10044.3,alligator+fractal,off
2026-03-30 11:45:00+00:00,2026-03-30 13:58:00+00:00,long,4566.17,4525.81,4525.81,4681.169999999997,SL,113.63727019581468,100,-100.44,2.05,-102.49,9941.82,alligator+fractal,off
2026-03-30 17:35:00+00:00,2026-03-30 19:56:00+00:00,short,4516.72,4516.72,4548.83,4419.51,BE,139.84552929436612,100,-0.0,2.52,-2.52,9939.3,alligator+fractal,off
2026-03-31 17:35:00+00:00,2026-04-01 01:00:00+00:00,long,4658.87,4723.519999999999,4636.92,4723.519999999999,TP,140.64055037661313,150,292.75,3.8,288.95,10228.25,alligator+fractal,off
2026-04-01 06:50:00+00:00,2026-04-01 13:00:00+00:00,long,4724.33,4724.33,4683.23,4846.710000000003,BE,117.57083424976754,100,0.0,2.12,-2.12,10226.13,alligator+fractal,off
2026-04-01 18:40:00+00:00,2026-04-01 23:10:00+00:00,short,4749.3,4789.65,4789.65,4630.01,SL,120.36421653675875,100,-102.26,2.17,-104.43,10121.7,alligator+fractal,off
2026-04-01 23:11:00+00:00,2026-04-02 01:01:00+00:00,long,4790.18,4771.26,4771.26,4836.9,SL,170.84135777666884,150,-101.22,4.61,-105.83,10015.87,alligator+fractal,off
2026-04-06 12:15:00+00:00,2026-04-06 14:35:00+00:00,short,4672.74,4694.46,4694.46,4609.219999999998,SL,143.65122686544183,150,-100.16,3.88,-104.04,9911.84,alligator+fractal,off
2026-04-06 17:50:00+00:00,2026-04-06 18:10:00+00:00,short,4652.53,4660.24,4660.24,4629.5599999999995,SL,119.62415618376131,500,-99.12,10.77,-109.88,9801.95,alligator+fractal,off
2026-04-06 19:20:00+00:00,2026-04-06 22:01:00+00:00,short,4648.0,4659.49,4659.49,4613.5700000000015,SL,158.60563377158525,250,-98.02,7.14,-105.16,9696.79,alligator+fractal,off
2026-04-07 19:50:00+00:00,2026-04-08 00:02:00+00:00,long,4706.1,4851.469999999999,4657.83,4851.469999999999,TP,189.07844793582777,50,292.03,1.7,290.33,9987.12,alligator+fractal,off
2026-04-08 18:25:00+00:00,2026-04-08 19:37:00+00:00,short,4723.55,4723.55,4744.69,4660.37,BE,148.7690538525924,150,-0.0,4.02,-4.02,9983.1,alligator+fractal,off
2026-04-08 22:15:00+00:00,2026-04-09 02:39:00+00:00,short,4712.349999999999,4732.6,4732.6,4652.319999999998,SL,154.8769804699235,150,-99.83,4.18,-104.01,9879.09,alligator+fractal,off
2026-04-09 10:50:00+00:00,2026-04-09 12:14:00+00:00,long,4744.27,4744.27,4724.1,4804.1799999999985,BE,154.91349882238885,150,0.0,4.18,-4.18,9874.91,alligator+fractal,off
2026-04-09 17:40:00+00:00,2026-04-09 18:04:00+00:00,long,4798.99,4784.7,4784.7,4841.86,SL,132.65105782933637,250,-98.75,5.97,-104.72,9770.19,alligator+fractal,off
2026-04-09 23:25:00+00:00,2026-04-10 00:20:00+00:00,short,4758.0599999999995,4758.0599999999995,4764.64,4738.559999999999,BE,141.2983404159187,500,-0.0,12.72,-12.72,9757.47,alligator+fractal,off
2026-04-10 06:45:00+00:00,2026-04-10 07:06:00+00:00,short,4751.04,4751.04,4758.48,4729.040000000001,BE,124.61868008450992,500,-0.0,11.22,-11.22,9746.26,alligator+fractal,off
2026-04-10 12:35:00+00:00,2026-04-10 16:05:00+00:00,long,4780.7300000000005,4753.48,4753.48,4861.32,SL,113.99199816297178,150,-97.46,3.08,-100.54,9645.72,alligator+fractal,off
2026-04-10 18:05:00+00:00,2026-04-10 18:15:00+00:00,short,4753.34,4765.09,4765.09,4719.290000000001,SL,156.08298447479447,250,-96.46,7.02,-103.48,9542.24,alligator+fractal,off
2026-04-13 06:30:00+00:00,2026-04-13 09:10:00+00:00,long,4731.79,4716.64,4716.64,4776.919999999999,SL,119.21283569230197,250,-95.42,5.36,-100.79,9441.45,alligator+fractal,off
2026-04-13 19:25:00+00:00,2026-04-14 00:40:00+00:00,long,4741.42,4773.0700000000015,4730.83,4773.0700000000015,TP,169.0873654859817,250,282.17,7.61,274.56,9716.01,alligator+fractal,off
2026-04-14 12:15:00+00:00,2026-04-14 13:15:00+00:00,short,4769.91,4782.74,4782.74,4731.340000000002,SL,144.48796854960528,250,-97.16,6.5,-103.66,9612.35,alligator+fractal,off
2026-04-14 17:40:00+00:00,2026-04-14 22:19:00+00:00,long,4838.1,4838.1,4824.95,4877.63,BE,141.46166790151034,250,0.0,6.37,-6.37,9605.99,alligator+fractal,off
2026-04-15 17:15:00+00:00,2026-04-15 22:04:00+00:00,short,4798.179999999999,4798.179999999999,4812.59,4755.189999999999,BE,127.94241240958218,250,-0.0,5.76,-5.76,9600.23,alligator+fractal,off
2026-04-15 23:15:00+00:00,2026-04-16 01:40:00+00:00,long,4812.83,4812.83,4787.97,4887.249999999999,BE,123.90526240155468,150,0.0,3.35,-3.35,9596.88,alligator+fractal,off
2026-04-16 06:25:00+00:00,2026-04-16 11:04:00+00:00,short,4820.03,4820.03,4838.36,4763.800000000002,BE,168.23883931782316,150,-0.0,4.54,-4.54,9592.34,alligator+fractal,off
2026-04-17 12:25:00+00:00,2026-04-17 13:07:00+00:00,long,4812.3,4854.590000000001,4798.03,4854.590000000001,TP,129.39376406807338,250,284.27,5.82,278.45,9870.79,alligator+fractal,off
