time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-04-08 11:50:00+00:00,2026-04-08 12:19:00+00:00,long,4796.35,4796.35,4785.070306974417,4814.402821709305,BE,170.08796211461967,250,0.0,7.65,-7.65,9992.35,EMA cross up + RSI,off
2026-04-08 12:25:00+00:00,2026-04-08 12:29:00+00:00,short,4770.139999999999,4783.285000331604,4783.285000331604,4748.764999447326,SL,145.04340310369034,250,-99.92,6.53,-106.45,9885.9,EMA cross down + RSI,off
2026-04-08 12:40:00+00:00,2026-04-08 13:07:00+00:00,long,4796.8,4796.8,4783.366235157239,4819.0029414046,BE,141.19843455397333,250,0.0,6.35,-6.35,9879.54,EMA cross up + RSI,off
2026-04-08 13:35:00+00:00,2026-04-08 13:46:00+00:00,short,4782.83,4782.83,4795.374144832925,4761.896425278459,BE,150.6748177787591,250,-0.0,6.78,-6.78,9872.76,EMA cross down + RSI,ny
2026-04-08 16:55:00+00:00,2026-04-08 17:22:00+00:00,long,4761.06,4750.576340952558,4750.576340952558,4779.119431745737,SL,179.34505063025443,250,-98.73,8.07,-106.8,9765.96,EMA cross up + RSI,ny
2026-04-08 17:25:00+00:00,2026-04-08 18:00:00+00:00,short,4748.48,4731.117532493342,4758.001480503995,4731.117532493342,TP,194.8162615033541,250,178.08,8.77,169.32,9935.28,EMA cross down + RSI,off
2026-04-08 20:00:00+00:00,2026-04-08 20:49:00+00:00,long,4731.03,4720.42002521074,4720.42002521074,4747.886624648767,SL,177.2072236031982,250,-99.35,7.97,-107.33,9827.95,EMA cross up + RSI,off
2026-04-08 20:50:00+00:00,2026-04-08 22:00:00+00:00,short,4720.11,4727.551304709562,4727.551304709562,4707.761158817397,SL,124.67978971611224,500,-98.28,11.22,-109.5,9718.45,EMA cross down + RSI,off
2026-04-09 00:45:00+00:00,2026-04-09 00:54:00+00:00,long,4718.49,4709.615256183966,4709.615256183966,4733.254573026721,SL,103.34138543505996,500,-97.18,9.3,-106.49,9611.97,EMA cross up + RSI,off
2026-04-09 01:00:00+00:00,2026-04-09 01:00:00+00:00,short,4706.99,4715.962744957662,4715.962744957662,4692.168758403896,SL,201.69269997645787,250,-96.12,9.08,-105.2,9506.77,EMA cross down + RSI,off
2026-04-09 01:10:00+00:00,2026-04-09 01:20:00+00:00,long,4716.17,4716.17,4706.106459704873,4733.1292338252115,BE,178.20983080495273,250,0.0,8.02,-8.02,9498.75,EMA cross up + RSI,off
2026-04-09 03:15:00+00:00,2026-04-09 03:28:00+00:00,short,4712.62,4712.62,4721.169356046714,4698.5044065888105,BE,104.71900683107906,500,-0.0,9.42,-9.42,9489.33,EMA cross down + RSI,off
2026-04-09 04:20:00+00:00,2026-04-09 05:10:00+00:00,long,4720.53,4713.305996700519,4713.305996700519,4732.490005499134,SL,124.01613716570044,500,-94.89,11.16,-106.05,9383.27,EMA cross up + RSI,off
2026-04-09 05:15:00+00:00,2026-04-09 05:20:00+00:00,short,4713.96,4720.557517555421,4720.557517555421,4703.097470740965,SL,134.08790890064174,500,-93.83,12.07,-105.9,9277.37,EMA cross down + RSI,off
2026-04-09 05:21:00+00:00,2026-04-09 05:50:00+00:00,long,4721.59,4713.56337655568,4713.56337655568,4731.687705740532,SL,109.14662179167294,500,-92.77,9.82,-102.6,9174.77,EMA cross up + RSI,off
2026-04-09 05:55:00+00:00,2026-04-09 06:00:00+00:00,short,4708.72,4717.2059903233885,4717.2059903233885,4695.056682794352,SL,101.81826789548848,500,-91.75,9.16,-100.91,9073.86,EMA cross down + RSI,off
2026-04-09 06:15:00+00:00,2026-04-09 06:50:00+00:00,long,4719.35,4710.573097937674,4710.573097937674,4734.458170103876,SL,97.58052034391076,500,-90.74,8.78,-99.52,8974.34,EMA cross up + RSI,off
2026-04-09 07:15:00+00:00,2026-04-09 07:21:00+00:00,long,4724.58,4714.318578276697,4714.318578276697,4741.709036205506,SL,165.2792239958815,250,-89.74,7.44,-97.18,8877.16,EMA cross up + RSI,london
2026-04-09 07:25:00+00:00,2026-04-09 07:30:00+00:00,short,4713.61,4713.61,4724.271404445093,4696.534325924845,BE,156.99047503151394,250,-0.0,7.06,-7.06,8870.1,EMA cross down + RSI,london
2026-04-09 07:40:00+00:00,2026-04-09 07:46:00+00:00,long,4729.34,4717.258625887074,4717.258625887074,4748.835623521544,SL,138.89049472366074,250,-88.7,6.25,-94.95,8775.15,EMA cross up + RSI,london
2026-04-09 12:30:00+00:00,2026-04-09 12:41:00+00:00,short,4737.72,4745.302277218727,4745.302277218727,4725.429537968789,SL,109.6614631213936,500,-87.75,9.87,-97.62,8677.52,EMA cross down + RSI,off
2026-04-09 13:10:00+00:00,2026-04-09 13:35:00+00:00,long,4749.6,4763.504083596628,4740.761549842023,4763.504083596628,TP,93.26243412787785,500,136.51,8.39,128.12,8805.64,EMA cross up + RSI,off
2026-04-09 18:15:00+00:00,2026-04-09 20:15:00+00:00,short,4783.8099999999995,4766.5114124943475,4793.325152503392,4766.5114124943475,TP,177.0838994422026,250,160.09,7.97,152.12,8957.76,EMA cross down + RSI,off
2026-04-10 01:20:00+00:00,2026-04-10 01:36:00+00:00,long,4763.81,4775.874091379671,4756.811545172198,4775.874091379671,TP,121.94993850328595,500,154.42,10.98,143.44,9101.2,EMA cross up + RSI,off
2026-04-10 02:15:00+00:00,2026-04-10 02:58:00+00:00,short,4752.51,4752.51,4761.91392823728,4737.156786271201,BE,183.9807135592402,250,-0.0,8.28,-8.28,9092.92,EMA cross down + RSI,off
2026-04-10 03:20:00+00:00,2026-04-10 04:52:00+00:00,long,4761.62,4761.62,4753.739699228927,4774.620501285121,BE,109.88673345514098,500,0.0,9.89,-9.89,9083.03,EMA cross up + RSI,off
