time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-04-13 08:54:00+00:00,2026-04-13 11:00:00+00:00,short,4724.889999999999,4724.889999999999,4738.47,4699.169999999999,BE,139.17201767304002,250,-0.0,6.26,-6.26,9993.74,ORB 07:00:00 retest,london
2026-04-15 07:16:00+00:00,2026-04-15 09:02:00+00:00,long,4814.150000000001,4814.150000000001,4804.44,4832.910000000002,BE,198.19299784303067,250,0.0,8.92,-8.92,9984.82,ORB 07:00:00 retest,london
2026-04-17 07:57:00+00:00,2026-04-17 08:05:00+00:00,short,4783.8,4791.16,4791.16,4769.29,SL,129.79721493409505,500,-99.85,11.68,-111.53,9873.29,ORB 07:00:00 retest,london
2026-04-20 07:32:00+00:00,2026-04-20 08:45:00+00:00,short,4793.65,4793.65,4801.34,4778.299999999999,BE,123.09256199055494,500,-0.0,11.08,-11.08,9862.21,ORB 07:00:00 retest,london
2026-04-22 07:14:00+00:00,2026-04-22 07:22:00+00:00,short,4766.59,4766.59,4772.14,4755.4299999999985,BE,169.40220913527045,500,-0.0,15.25,-15.25,9846.96,ORB 07:00:00 retest,london
2026-04-23 07:23:00+00:00,2026-04-23 07:45:00+00:00,short,4705.21,4715.37,4715.37,4685.37,SL,182.4095826737623,250,-98.47,8.21,-106.68,9740.29,ORB 07:00:00 retest,london
2026-04-27 08:20:00+00:00,2026-04-27 10:55:00+00:00,short,4710.639999999999,4710.639999999999,4718.24,4695.5,BE,120.74468689384959,500,-0.0,10.87,-10.87,9729.42,ORB 07:00:00 retest,london
2026-04-28 07:39:00+00:00,2026-04-28 08:29:00+00:00,short,4626.71,4626.71,4639.33,4601.32,BE,142.67892315059146,250,-0.0,6.42,-6.42,9723.0,ORB 07:00:00 retest,london
2026-04-29 07:13:00+00:00,2026-04-29 07:33:00+00:00,short,4578.28,4578.28,4588.98,4556.700000000002,BE,166.40975479764552,250,-0.0,7.49,-7.49,9715.51,ORB 07:00:00 retest,london
2026-05-01 07:23:00+00:00,2026-05-01 08:52:00+00:00,short,4586.22,4566.2699999999995,4596.3,4566.2699999999995,TP,176.81534280801904,250,192.29,7.96,184.33,9899.84,ORB 07:00:00 retest,london
2026-05-04 07:40:00+00:00,2026-05-04 09:58:00+00:00,short,4585.33,4573.870000000001,4591.69,4573.870000000001,TP,142.74852490560303,500,178.38,12.85,165.54,10065.38,ORB 07:00:00 retest,london
2026-05-05 07:53:00+00:00,2026-05-05 08:27:00+00:00,short,4546.76,4554.68,4554.68,4531.070000000001,SL,115.56780049698718,500,-100.65,10.4,-111.05,9954.32,ORB 07:00:00 retest,london
2026-05-07 07:17:00+00:00,2026-05-07 08:58:00+00:00,long,4746.88,4731.82,4731.82,4777.630000000001,SL,125.50323489744594,250,-99.54,5.65,-105.19,9849.13,ORB 07:00:00 retest,london
2026-05-11 08:18:00+00:00,2026-05-11 09:25:00+00:00,short,4673.24,4658.97,4680.33,4658.97,TP,129.83737548536692,500,198.23,11.69,186.55,10035.68,ORB 07:00:00 retest,london
2026-05-13 09:15:00+00:00,2026-05-13 09:44:00+00:00,short,4694.5199999999995,4694.5199999999995,4705.39,4672.839999999999,BE,173.36776447861405,250,-0.0,7.8,-7.8,10027.88,ORB 07:00:00 retest,london
2026-05-14 09:11:00+00:00,2026-05-14 09:34:00+00:00,short,4694.599999999999,4694.599999999999,4702.28,4679.509999999999,BE,122.59600962881787,500,-0.0,11.03,-11.03,10016.84,ORB 07:00:00 retest,london
2026-05-15 08:07:00+00:00,2026-05-15 09:16:00+00:00,short,4565.0199999999995,4542.15,4576.65,4542.15,TP,157.27286915146163,250,196.98,7.08,189.9,10206.74,ORB 07:00:00 retest,london
2026-05-18 09:05:00+00:00,2026-05-18 10:19:00+00:00,short,4542.46,4542.46,4549.39,4528.689999999999,BE,133.8058363347576,500,-0.0,12.04,-12.04,10194.7,ORB 07:00:00 retest,london
2026-05-19 08:20:00+00:00,2026-05-19 08:35:00+00:00,short,4544.34,4544.34,4555.27,4522.87,BE,169.54505265415457,250,-0.0,7.63,-7.63,10187.07,ORB 07:00:00 retest,london
2026-05-22 08:40:00+00:00,2026-05-22 09:38:00+00:00,short,4521.92,4521.92,4527.06,4511.969999999998,BE,179.2417133786776,500,-0.0,16.13,-16.13,10170.94,ORB 07:00:00 retest,london
2026-05-25 09:39:00+00:00,2026-05-25 10:18:00+00:00,long,4565.46,4573.420000000001,4561.36,4573.420000000001,TP,226.51227577288077,500,197.47,20.39,177.08,10348.02,ORB 07:00:00 retest,london
2026-05-26 07:31:00+00:00,2026-05-26 07:46:00+00:00,short,4527.66,4527.66,4534.01,4515.079999999999,BE,147.56632552656336,500,-0.0,13.28,-13.28,10334.74,ORB 07:00:00 retest,london
2026-05-29 07:45:00+00:00,2026-05-29 08:07:00+00:00,long,4525.45,4518.3,4518.3,4539.6900000000005,SL,130.8233199211962,500,-103.35,11.77,-115.12,10219.62,ORB 07:00:00 retest,london
2026-06-01 07:59:00+00:00,2026-06-01 08:45:00+00:00,short,4500.62,4500.62,4509.87,4482.449999999999,BE,198.8955993381228,250,-0.0,8.95,-8.95,10210.67,ORB 07:00:00 retest,london
2026-06-02 07:19:00+00:00,2026-06-02 07:28:00+00:00,long,4540.06,4533.72,4533.72,4552.5599999999995,SL,146.23670058951132,500,-102.11,13.16,-115.27,10095.4,ORB 07:00:00 retest,london
2026-06-03 07:29:00+00:00,2026-06-03 08:58:00+00:00,short,4459.82,4441.07,4469.33,4441.07,TP,189.37394717289223,250,199.04,8.52,190.52,10285.92,ORB 07:00:00 retest,london
2026-06-04 08:18:00+00:00,2026-06-04 08:30:00+00:00,short,4464.36,4464.36,4470.86,4451.51,BE,141.2924263563833,500,-0.0,12.72,-12.72,10273.2,ORB 07:00:00 retest,london
