time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-04-06 19:05:00+00:00,2026-04-06 19:15:00+00:00,long,4658.570000000001,4650.448992329423,4650.448992329423,4682.773023011729,SL,2.2945773179740128,500,-2.0,0.03,-2.03,9997.97,scratch buy,off
2026-04-06 20:00:00+00:00,2026-04-07 01:00:00+00:00,long,4655.54,4648.859511929879,4648.859511929879,4675.901464210364,SL,2.7869796482818,500,-2.0,0.03,-2.03,9995.94,scratch buy,off
2026-04-07 01:35:00+00:00,2026-04-07 01:37:00+00:00,long,4657.96,4645.280970796077,4645.280970796077,4694.51708761177,SL,2.937807635818641,250,-2.0,0.02,-2.02,9993.92,scratch buy,off
2026-04-07 02:45:00+00:00,2026-04-07 05:28:00+00:00,long,4646.52,4632.971810120673,4632.971810120673,4686.804569637983,SL,2.742031914766333,250,-2.0,0.02,-2.02,9991.91,scratch buy,off
2026-04-07 05:30:00+00:00,2026-04-07 05:39:00+00:00,short,4632.97,4641.259786347918,4641.259786347918,4609.4206409562485,SL,2.233698441433815,500,-2.0,0.03,-2.03,9989.88,scratch sell,off
2026-04-07 06:15:00+00:00,2026-04-07 06:22:00+00:00,long,4647.3,4638.300402132696,4638.300402132696,4677.058793601911,SL,4.126938130694259,250,-2.0,0.02,-2.02,9987.86,scratch buy,off
2026-04-07 06:45:00+00:00,2026-04-07 07:26:00+00:00,long,4652.6,4642.873887024741,4642.873887024741,4681.378338925778,SL,3.822247592808793,250,-2.0,0.02,-2.02,9985.84,scratch buy,off
2026-04-07 07:30:00+00:00,2026-04-07 08:01:00+00:00,short,4639.82,4649.4253795361155,4649.4253795361155,4611.123861391656,SL,3.8588788779945493,250,-2.0,0.02,-2.02,9983.82,scratch sell,london
2026-04-07 08:05:00+00:00,2026-04-07 08:21:00+00:00,long,4650.54,4680.200971497447,4640.186342834184,4680.200971497447,TP,3.58753604642669,250,5.72,0.02,5.7,9989.52,scratch buy,london
2026-04-07 09:50:00+00:00,2026-04-07 10:05:00+00:00,short,4666.83,4678.8248440252,4678.8248440252,4631.365467924399,SL,3.109294583972651,250,-2.0,0.02,-2.02,9987.5,scratch sell,london
2026-04-07 12:25:00+00:00,2026-04-07 12:45:00+00:00,long,4667.12,4655.216885871394,4655.216885871394,4707.509342385817,SL,3.132818143982896,250,-2.0,0.02,-2.02,9985.48,scratch buy,off
2026-04-07 14:35:00+00:00,2026-04-07 14:59:00+00:00,long,4653.33,4635.156273956273,4635.156273956273,4707.2511781311805,SL,3.409005920307292,150,-2.0,0.01,-2.01,9983.48,scratch buy,ny
2026-04-07 15:20:00+00:00,2026-04-07 19:20:00+00:00,long,4650.21,4699.056110642118,4634.207963119294,4699.056110642118,TP,2.3209673319878985,250,6.09,0.01,6.08,9989.56,scratch buy,ny
2026-04-08 02:50:00+00:00,2026-04-08 05:31:00+00:00,short,4806.24,4818.589981970784,4818.589981970784,4769.230054087649,SL,3.110106843143472,250,-2.0,0.02,-2.02,9987.54,scratch sell,off
2026-04-08 07:00:00+00:00,2026-04-08 09:43:00+00:00,short,4820.24,4790.3394360915145,4830.753521302828,4790.3394360915145,TP,3.663270285106912,250,5.68,0.02,5.66,9993.2,scratch sell,london
2026-04-08 10:50:00+00:00,2026-04-08 10:59:00+00:00,long,4793.47,4782.951964866389,4782.951964866389,4824.664105400832,SL,3.643425541554729,250,-2.0,0.02,-2.02,9991.18,scratch buy,off
2026-04-08 11:50:00+00:00,2026-04-08 12:21:00+00:00,long,4796.35,4785.070575567832,4785.070575567832,4829.068273296504,SL,3.3988391510207205,250,-2.0,0.02,-2.02,9989.16,scratch buy,off
