time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2025-09-05 14:47:00+00:00,2025-09-05 14:47:00+00:00,long,3584.57,3583.43,3583.43,3590.43,SL,500.0,500,-79.51,6.0,-85.51,9914.49,scratch buy,ny
2025-09-09 14:46:00+00:00,2025-09-09 14:47:00+00:00,long,3648.15,3647.0,3647.0,3654.0,SL,500.0,500,-78.81,6.0,-84.81,9829.69,scratch buy,ny
2025-09-09 15:25:00+00:00,2025-09-09 15:35:00+00:00,long,3639.3700000000003,3638.3,3638.3,3645.3,SL,500.0,500,-73.5,6.0,-79.5,9750.18,scratch buy,ny
2025-10-09 14:09:00+00:00,2025-10-09 14:09:00+00:00,long,4028.05,4027.19,4027.19,4034.19,SL,500.0,500,-53.38,6.0,-59.38,9690.81,scratch buy,ny
2025-10-09 14:40:00+00:00,2025-10-09 14:41:00+00:00,long,4014.1200000000003,4013.23,4013.23,4020.23,SL,500.0,500,-55.43,6.0,-61.43,9629.38,scratch buy,ny
2025-10-10 16:29:00+00:00,2025-10-10 16:29:00+00:00,long,3989.8100000000004,3988.83,3988.83,3995.83,SL,500.0,500,-61.41,6.0,-67.41,9561.97,scratch buy,ny
2025-10-16 16:49:00+00:00,2025-10-16 16:49:00+00:00,long,4278.87,4276.73,4276.73,4283.73,SL,382.3779098768012,500,-95.62,4.59,-100.21,9461.76,scratch buy,ny
2025-10-17 13:56:00+00:00,2025-10-17 13:56:00+00:00,long,4291.05,4289.86,4289.86,4296.86,SL,500.0,500,-69.33,6.0,-75.33,9386.43,scratch buy,ny
2025-10-17 14:30:00+00:00,2025-10-17 14:31:00+00:00,long,4241.06,4247.46,4240.46,4247.46,TP,500.0,500,377.26,6.0,371.26,9757.7,scratch buy,ny
2025-10-20 13:43:00+00:00,2025-10-20 13:43:00+00:00,long,4314.02,4313.01,4313.01,4320.01,SL,500.0,500,-58.53,6.0,-64.53,9693.17,scratch buy,ny
2025-10-20 14:09:00+00:00,2025-10-20 14:10:00+00:00,long,4307.22,4313.23,4306.23,4313.23,TP,500.0,500,348.83,6.0,342.83,10036.0,scratch buy,ny
2025-10-21 13:44:00+00:00,2025-10-21 13:44:00+00:00,short,4204.79,4205.82,4205.82,4198.82,SL,500.0,500,-61.24,6.0,-67.24,9968.76,scratch sell,ny
2025-10-22 15:28:00+00:00,2025-10-22 15:28:00+00:00,short,4030.9399999999996,4031.8,4031.8,4024.8,SL,500.0,500,-53.34,6.0,-59.34,9909.42,scratch sell,ny
2025-10-22 16:51:00+00:00,2025-10-22 16:51:00+00:00,short,4046.73,4047.54,4047.54,4040.54,SL,500.0,500,-50.04,6.0,-56.04,9853.38,scratch sell,ny
2025-10-23 14:25:00+00:00,2025-10-23 14:25:00+00:00,long,4146.22,4145.57,4145.57,4152.57,SL,500.0,500,-39.19,6.0,-45.19,9808.19,scratch buy,ny
2025-10-31 13:49:00+00:00,2025-10-31 13:49:00+00:00,long,4022.09,4021.21,4021.21,4028.21,SL,500.0,500,-54.7,6.0,-60.7,9747.49,scratch buy,ny
2025-11-06 14:36:00+00:00,2025-11-06 14:36:00+00:00,long,4002.5,4001.38,4001.38,4008.38,SL,500.0,500,-69.96,6.0,-75.96,9671.54,scratch buy,ny
2025-11-06 15:21:00+00:00,2025-11-06 15:21:00+00:00,long,3990.3700000000003,3989.26,3989.26,3996.26,SL,500.0,500,-69.54,6.0,-75.54,9595.99,scratch buy,ny
2025-11-14 16:06:00+00:00,2025-11-14 16:06:00+00:00,short,4082.5099999999998,4083.43,4083.43,4076.43,SL,500.0,500,-56.34,6.0,-62.34,9533.66,scratch sell,ny
2025-11-21 15:47:00+00:00,2025-11-21 15:48:00+00:00,long,4069.9500000000003,4069.11,4069.11,4076.11,SL,500.0,500,-51.6,6.0,-57.6,9476.06,scratch buy,ny
2025-12-01 14:52:00+00:00,2025-12-01 15:00:00+00:00,long,4236.820000000001,4242.79,4235.79,4242.79,TP,500.0,500,352.27,6.0,346.27,9822.33,scratch buy,ny
2025-12-03 15:07:00+00:00,2025-12-03 15:11:00+00:00,long,4215.35,4214.49,4214.49,4221.49,SL,500.0,500,-51.0,6.0,-57.0,9765.32,scratch buy,ny
