time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-06-15 10:05:00+00:00,2026-06-15 10:07:00+00:00,short,4335.9,4339.97,4339.97,4333.97,SL,213.06633906630665,500,-100.0,2.56,-102.56,9897.44,Streak Fixed de 2 bougies rouges,london
2026-06-15 10:09:00+00:00,2026-06-15 10:41:00+00:00,short,4337.73,4335.76,4341.76,4335.76,TP,213.06420004457334,500,48.38,2.56,45.83,9943.27,Streak Fixed de 2 bougies rouges,london
2026-06-15 10:46:00+00:00,2026-06-15 10:54:00+00:00,long,4340.68,4336.62,4336.62,4342.62,SL,212.6135300904569,500,-99.43,2.55,-101.98,9841.28,Streak Fixed de 2 bougies vertes,off
2026-06-15 10:55:00+00:00,2026-06-15 11:29:00+00:00,short,4337.3,4341.35,4341.35,4335.35,SL,210.78816273253494,500,-98.41,2.53,-100.94,9740.34,Streak Fixed de 2 bougies rouges,off
2026-06-15 11:30:00+00:00,2026-06-15 11:30:00+00:00,long,4341.21,4341.21,4337.21,4343.21,BE,211.42435321771657,500,0.0,2.54,-2.54,9737.81,Streak Fixed de 2 bougies vertes,off
2026-06-15 11:31:00+00:00,2026-06-15 11:32:00+00:00,long,4343.99,4346.05,4340.05,4346.05,TP,214.72552127586818,500,50.91,2.58,48.34,9786.14,Streak Fixed de 2 bougies vertes,off
2026-06-15 11:33:00+00:00,2026-06-15 11:36:00+00:00,long,4346.24,4342.05,4342.05,4348.05,SL,203.02110076818738,500,-97.86,2.44,-100.3,9685.84,Streak Fixed de 2 bougies vertes,off
2026-06-15 11:37:00+00:00,2026-06-15 11:42:00+00:00,short,4343.179999999999,4347.13,4347.13,4341.13,SL,212.9993123081476,500,-96.86,2.56,-99.41,9586.43,Streak Fixed de 2 bougies rouges,off
2026-06-15 11:44:00+00:00,2026-06-15 11:44:00+00:00,short,4342.3099999999995,4342.3099999999995,4346.35,4340.35,BE,206.07549115365896,500,-0.0,2.47,-2.47,9583.96,Streak Fixed de 2 bougies rouges,off
2026-06-15 11:45:00+00:00,2026-06-15 11:45:00+00:00,short,4338.57,4336.61,4342.61,4336.61,TP,205.8448865887988,500,46.5,2.47,44.03,9627.98,Streak Fixed de 2 bougies rouges,off
2026-06-15 11:46:00+00:00,2026-06-15 11:46:00+00:00,short,4336.889999999999,4336.889999999999,4341.01,4335.01,BE,202.69661747062256,500,-0.0,2.43,-2.43,9625.55,Streak Fixed de 2 bougies rouges,off
