time_in,time_out,dir,entry,exit,sl0,tp,why,stake,mult,gross,commission,net,balance,reason,session
2026-04-10 14:03:00+00:00,2026-04-10 14:43:00+00:00,long,4778.63,4778.63,4765.031724281349,4805.856551437303,BE,140.56576286199908,250,0.0,6.33,-6.33,9993.67,sweep@4766.29+MSS,ny
2026-04-10 15:11:00+00:00,2026-04-10 15:28:00+00:00,long,4779.610000000001,4779.610000000001,4769.161270738109,4800.177458523782,BE,182.85808953074863,250,0.0,8.23,-8.23,9985.45,sweep@4771.26+MSS,ny
2026-04-10 16:45:00+00:00,2026-04-10 16:54:00+00:00,short,4756.96,4766.0272872148835,4766.0272872148835,4738.765425570232,SL,209.54610008264143,250,-99.85,9.43,-109.28,9876.16,sweep@4765.27+MSS,ny
2026-04-13 14:04:00+00:00,2026-04-13 16:16:00+00:00,short,4721.72,4721.72,4745.285866920838,4674.408266158323,BE,131.92094393545173,150,-0.0,3.56,-3.56,9872.6,sweep@4737.17+MSS,ny
2026-04-14 15:21:00+00:00,2026-04-14 17:05:00+00:00,long,4801.92,4820.388308316795,4792.565845841603,4820.388308316795,TP,202.72248979752916,250,194.92,9.12,185.8,10058.4,sweep@4795.70+MSS,ny
2026-04-15 07:16:00+00:00,2026-04-15 07:26:00+00:00,long,4814.150000000001,4807.998189028994,4807.998189028994,4825.7936219420135,SL,157.42560923588638,500,-100.58,14.17,-114.75,9943.64,sweep@4811.60+MSS,london
2026-04-15 08:19:00+00:00,2026-04-15 09:03:00+00:00,long,4812.77,4812.77,4804.356511580915,4829.626976838169,BE,113.76130862303025,500,0.0,10.24,-10.24,9933.41,sweep@4806.17+MSS,london
2026-04-15 09:58:00+00:00,2026-04-15 10:15:00+00:00,long,4798.400000000001,4798.400000000001,4792.137223611427,4810.655552777148,BE,152.21509121002106,500,0.0,13.7,-13.7,9919.71,sweep@4793.22+MSS,london
2026-04-16 08:43:00+00:00,2026-04-16 10:15:00+00:00,long,4813.5,4806.413404227377,4806.413404227377,4827.583191545246,SL,134.7572460974547,500,-99.2,12.13,-111.33,9808.38,sweep@4807.52+MSS,london
2026-04-16 13:36:00+00:00,2026-04-16 13:47:00+00:00,long,4821.2,4812.550194124077,4812.550194124077,4839.399611751845,SL,109.33925642649831,500,-98.08,9.84,-107.92,9700.46,sweep@4814.37+MSS,ny
2026-04-17 07:41:00+00:00,2026-04-17 08:00:00+00:00,short,4786.33,4786.33,4794.983570060228,4769.172859879544,BE,107.30735877662123,500,-0.0,9.66,-9.66,9690.8,sweep@4791.16+MSS,london
2026-04-17 09:14:00+00:00,2026-04-17 10:16:00+00:00,short,4793.36,4793.36,4799.824237643417,4780.581524713165,BE,143.7183825195868,500,-0.0,12.93,-12.93,9677.86,sweep@4797.12+MSS,london
2026-04-17 16:09:00+00:00,2026-04-17 17:24:00+00:00,long,4873.16,4857.676735617645,4857.676735617645,4904.186528764711,SL,121.83937671553929,250,-96.78,5.48,-102.26,9575.6,sweep@4863.57+MSS,ny
2026-04-20 07:31:00+00:00,2026-04-20 08:45:00+00:00,short,4793.75,4793.75,4802.440448988552,4776.3391020228955,BE,105.64022002280566,500,-0.0,9.51,-9.51,9566.1,sweep@4801.34+MSS,london
2026-04-21 08:01:00+00:00,2026-04-21 08:06:00+00:00,short,4785.03,4785.03,4790.388722130556,4774.702555738888,BE,170.83943724836027,500,-0.0,15.38,-15.38,9550.72,sweep@4787.61+MSS,london
2026-04-21 08:53:00+00:00,2026-04-21 09:10:00+00:00,short,4786.96,4786.96,4793.3177277825735,4774.394544434854,BE,143.82155274880418,500,-0.0,12.94,-12.94,9537.78,sweep@4792.67+MSS,london
2026-04-21 10:04:00+00:00,2026-04-21 10:54:00+00:00,short,4782.92,4790.003449438822,4790.003449438822,4769.773101122357,SL,128.80283748628946,500,-95.38,11.59,-106.97,9430.81,sweep@4788.00+MSS,london
2026-04-21 14:01:00+00:00,2026-04-21 14:44:00+00:00,short,4776.17,4749.758908275827,4790.185545862087,4749.758908275827,TP,128.55191749271452,250,177.72,5.78,171.93,9602.74,sweep@4783.85+MSS,ny
2026-04-22 07:16:00+00:00,2026-04-22 08:33:00+00:00,short,4764.74,4753.530568148586,4770.479715925707,4753.530568148586,TP,159.43138460214607,500,187.54,14.35,173.19,9775.93,sweep@4767.72+MSS,london
2026-04-22 09:54:00+00:00,2026-04-22 10:21:00+00:00,short,4755.5599999999995,4755.5599999999995,4762.814293265836,4741.261413468329,BE,128.1723728756249,500,-0.0,11.54,-11.54,9764.39,sweep@4761.95+MSS,london
2026-04-22 14:06:00+00:00,2026-04-22 18:47:00+00:00,short,4743.38,4743.38,4753.025836969214,4723.6983260615725,BE,192.06715238874233,250,-0.0,8.64,-8.64,9755.75,sweep@4750.41+MSS,ny
2026-04-23 15:09:00+00:00,2026-04-23 15:17:00+00:00,short,4727.21,4737.292187456403,4737.292187456403,4707.165625087195,SL,182.96610181129157,250,-97.56,8.23,-105.79,9649.96,sweep@4736.00+MSS,ny
2026-04-23 15:31:00+00:00,2026-04-23 15:54:00+00:00,short,4731.75,4717.852036683933,4738.683981658033,4717.852036683933,TP,131.70262186800656,500,193.42,11.85,181.56,9831.52,sweep@4736.70+MSS,ny
2026-04-24 08:32:00+00:00,2026-04-24 11:04:00+00:00,short,4686.69,4686.69,4697.892719861944,4664.344560276112,BE,164.52177002147292,250,-0.0,7.4,-7.4,9824.12,sweep@4695.20+MSS,london
2026-04-24 15:46:00+00:00,2026-04-24 19:56:00+00:00,long,4728.78,4714.916561827276,4714.916561827276,4757.316876345448,SL,134.0391356157762,250,-98.24,6.03,-104.27,9719.84,sweep@4719.02+MSS,ny
2026-04-27 07:54:00+00:00,2026-04-27 08:44:00+00:00,short,4711.07,4711.07,4718.634106349402,4696.001787301197,BE,121.07407673640179,500,-0.0,10.9,-10.9,9708.95,sweep@4718.24+MSS,london
2026-04-27 09:10:00+00:00,2026-04-27 14:53:00+00:00,short,4704.59,4683.173714814736,4715.0731425926315,4683.173714814736,TP,174.28594639304012,250,198.35,7.84,190.5,9899.45,sweep@4714.24+MSS,london
2026-04-27 14:54:00+00:00,2026-04-27 15:29:00+00:00,short,4681.12,4681.12,4697.286896159256,4649.956207681489,BE,114.65531060783474,250,-0.0,5.16,-5.16,9894.29,sweep@4696.65+MSS,ny
2026-04-28 07:17:00+00:00,2026-04-28 07:31:00+00:00,short,4631.53,4631.53,4636.953972634461,4621.762054731079,BE,168.97468170153795,500,-0.0,15.21,-15.21,9879.08,sweep@4634.68+MSS,london
2026-04-28 13:56:00+00:00,2026-04-28 14:18:00+00:00,short,4576.23,4576.23,4591.494303235843,4546.271393528314,BE,118.46974863923064,250,-0.0,5.33,-5.33,9873.75,sweep@4584.06+MSS,ny
